filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,1024,768,pothole,410,405,707,470
10.jpg,660,371,pothole,88,167,188,209
10.jpg,660,371,pothole,165,123,271,162
10.jpg,660,371,pothole,165,103,205,118
10.jpg,660,371,pothole,267,61,357,99
10.jpg,660,371,pothole,481,86,598,114
10.jpg,660,371,pothole,253,23,360,59
100.jpg,1299,863,pothole,930,364,1029,427
100.jpg,1299,863,pothole,427,317,550,393
100.jpg,1299,863,pothole,703,242,815,280
100.jpg,1299,863,pothole,355,159,440,205
101.jpg,600,400,pothole,137,291,269,347
102.jpg,800,533,pothole,224,325,542,441
104.jpg,660,654,pothole,411,278,526,413
104.jpg,660,654,pothole,22,85,249,253
104.jpg,660,654,pothole,320,77,469,167
104.jpg,660,654,pothole,493,133,637,199
104.jpg,660,654,pothole,203,461,373,590
105.jpg,225,300,pothole,67,154,185,209
106.jpg,1820,1024,pothole,312,591,632,715
106.jpg,1820,1024,pothole,836,671,1478,879
106.jpg,1820,1024,pothole,394,743,662,857
111.jpg,1293,917,pothole,497,370,810,562
108.jpg,3200,1680,pothole,546,1048,2817,1598
108.jpg,3200,1680,pothole,628,602,1549,734
108.jpg,3200,1680,pothole,853,798,2231,1041
108.jpg,3200,1680,pothole,1221,409,1646,512
109.jpg,720,478,pothole,180,191,458,325
11.jpg,800,500,pothole,200,339,576,414
110.jpg,1297,599,pothole,363,161,1149,437
110.jpg,1297,599,pothole,349,120,443,159
110.jpg,1297,599,pothole,91,149,359,239
110.jpg,1297,599,pothole,638,70,733,100
112.jpg,356,169,pothole,58,40,190,72
112.jpg,356,169,pothole,62,84,195,133
112.jpg,356,169,pothole,1,23,42,38
113.jpg,750,750,pothole,1,220,175,255
113.jpg,750,750,pothole,277,354,560,409
114.jpg,640,415,pothole,145,288,574,343
114.jpg,640,415,pothole,467,232,579,257
114.jpg,640,415,pothole,93,236,142,260
114.jpg,640,415,pothole,531,372,606,406
114.jpg,640,415,pothole,142,173,251,209
114.jpg,640,415,pothole,370,224,430,243
114.jpg,640,415,pothole,412,187,482,217
115.jpg,400,303,pothole,181,173,338,224
115.jpg,400,303,pothole,70,118,248,173
115.jpg,400,303,pothole,167,87,183,96
115.jpg,400,303,pothole,179,107,227,118
115.jpg,400,303,pothole,147,73,170,89
115.jpg,400,303,pothole,165,237,220,271
115.jpg,400,303,pothole,245,259,315,302
115.jpg,400,303,pothole,80,71,145,115
116.jpg,1297,855,pothole,496,167,1163,469
116.jpg,1297,855,pothole,19,532,329,689
117.jpg,240,135,pothole,51,37,191,104
118.jpg,400,300,pothole,26,126,310,285
119.jpg,900,622,pothole,608,356,740,412
12.jpg,534,401,pothole,2,205,534,399
120.jpg,300,199,pothole,92,33,256,132
121.jpg,550,412,pothole,186,179,424,272
122.jpg,647,404,pothole,33,153,337,326
122.jpg,647,404,pothole,341,149,646,379
123.jpg,1100,825,pothole,461,470,868,664
125.jpg,620,407,pothole,42,99,598,386
126.jpg,400,300,pothole,59,88,354,198
127.jpg,780,520,pothole,282,256,434,312
127.jpg,780,520,pothole,550,266,608,366
127.jpg,780,520,pothole,365,133,440,180
127.jpg,780,520,pothole,435,96,481,128
127.jpg,780,520,pothole,496,98,567,244
127.jpg,780,520,pothole,382,69,429,102
127.jpg,780,520,pothole,410,1,447,26
127.jpg,780,520,pothole,417,176,488,252
127.jpg,780,520,pothole,347,190,388,228
128.jpg,339,218,pothole,113,63,281,196
129.jpg,873,1281,pothole,205,566,703,858
13.jpg,670,440,pothole,410,192,558,268
13.jpg,670,440,pothole,231,105,326,156
13.jpg,670,440,pothole,177,174,360,260
130.jpg,650,400,pothole,220,252,437,388
130.jpg,650,400,pothole,204,188,325,226
130.jpg,650,400,pothole,161,123,355,163
131.jpg,467,495,pothole,134,360,297,495
131.jpg,467,495,pothole,61,282,203,359
131.jpg,467,495,pothole,175,217,262,277
131.jpg,467,495,pothole,89,205,163,244
131.jpg,467,495,pothole,330,107,409,142
131.jpg,467,495,pothole,292,41,315,59
131.jpg,467,495,pothole,130,100,210,135
131.jpg,467,495,pothole,150,69,206,105
